Name,JIF,Category,Keywords,Publisher
Nature Reviews Earth & Environment,49.7,"GEOSCIENCES, MULTIDISCIPLINARY|Q1|1/253","['Nature', 'Reviews', 'Earth', 'Environment', 'GEOSCIENCES', 'MULTIDISCIPLINARY|Q1|1/253']",Springer
CANCER CELL,48.8,ONCOLOGY|Q1|5/322,"['CANCER', 'CELL', 'ONCOLOGY|Q1|5/322']",Elsevier
LANCET NEUROLOGY,46.5,CLINICAL NEUROLOGY|Q1|1/277,"['LANCET', 'NEUROLOGY', 'CLINICAL', 'NEUROLOGY|Q1|1/277']",Elsevier
Nature Reviews Gastroenterology & Hepatology,45.9,GASTROENTEROLOGY & HEPATOLOGY|Q1|1/143,"['Nature', 'Reviews', 'Gastroenterology', 'Hepatology', 'GASTROENTEROLOGY', 'HEPATOLOGY|Q1|1/143']",Springer
REVIEWS OF MODERN PHYSICS,45.9,"PHYSICS, MULTIDISCIPLINARY|Q1|1/110","['REVIEWS', 'MODERN', 'PHYSICS', 'PHYSICS', 'MULTIDISCIPLINARY|Q1|1/110']",American Physical Society
CELL,45.5,CELL BIOLOGY|Q1|4/205,"['CELL', 'CELL', 'BIOLOGY|Q1|4/205']",Elsevier
Nature Reviews Physics,44.8,"PHYSICS, MULTIDISCIPLINARY|Q1|2/110","['Nature', 'Reviews', 'Physics', 'PHYSICS', 'MULTIDISCIPLINARY|Q1|2/110']",Springer
SCIENCE,44.7,MULTIDISCIPLINARY SCIENCES|Q1|3/134,"['SCIENCE', 'MULTIDISCIPLINARY', 'SCIENCES|Q1|3/134']",American Association For The Advancement Of Science
Lancet Diabetes & Endocrinology,44.0,ENDOCRINOLOGY & METABOLISM|Q1|1/186,"['Lancet', 'Diabetes', 'Endocrinology', 'ENDOCRINOLOGY', 'METABOLISM|Q1|1/186']",Elsevier
eScience,42.9,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|3/438","['eScience', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q1|3/438']",Cell Press
Nature Catalysis,42.8,"CHEMISTRY, PHYSICAL|Q1|1/178","['Nature', 'Catalysis', 'CHEMISTRY', 'PHYSICAL|Q1|1/178']",Springer
JOURNAL OF CLINICAL ONCOLOGY,42.1,ONCOLOGY|Q1|6/322,"['JOURNAL', 'CLINICAL', 'ONCOLOGY', 'ONCOLOGY|Q1|6/322']",American Society Of Clinical Oncology
Nature Reviews Cardiology,41.7,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|1/220,"['Nature', 'Reviews', 'Cardiology', 'CARDIAC', 'CARDIOVASCULAR', 'SYSTEMS|Q1|1/220']",Springer
LANCET ONCOLOGY,41.6,ONCOLOGY|Q1|7/322,"['LANCET', 'ONCOLOGY', 'ONCOLOGY|Q1|7/322']",Elsevier
Signal Transduction and Targeted Therapy,40.8,CELL BIOLOGY|Q1|5/205,"['Signal', 'Transduction', 'Targeted', 'Therapy', 'CELL', 'BIOLOGY|Q1|5/205']",Springer
CHEMICAL SOCIETY REVIEWS,40.4,"CHEMISTRY, MULTIDISCIPLINARY|Q1|2/230","['CHEMICAL', 'SOCIETY', 'REVIEWS', 'CHEMISTRY', 'MULTIDISCIPLINARY|Q1|2/230']",Royal Society Of Chemistry
NATURE REVIEWS GENETICS,39.1,GENETICS & HEREDITY|Q1|1/191,"['NATURE', 'REVIEWS', 'GENETICS', 'GENETICS', 'HEREDITY|Q1|1/191']",Springer
Lancet Respiratory Medicine,38.7,RESPIRATORY SYSTEM|Q1|1/100,"['Lancet', 'Respiratory', 'Medicine', 'RESPIRATORY', 'SYSTEM|Q1|1/100']",Elsevier
Joule,38.6,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|4/438","['Joule', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q1|4/438']",Cell Press
Nature Nanotechnology,38.1,NANOSCIENCE & NANOTECHNOLOGY|Q1|2/140,"['Nature', 'Nanotechnology', 'NANOSCIENCE', 'NANOTECHNOLOGY|Q1|2/140']",Springer
Nature Reviews Chemistry,38.1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|3/230","['Nature', 'Reviews', 'Chemistry', 'CHEMISTRY', 'MULTIDISCIPLINARY|Q1|3/230']",Springer
EUROPEAN HEART JOURNAL,37.6,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|2/220,"['EUROPEAN', 'HEART', 'JOURNAL', 'CARDIAC', 'CARDIOVASCULAR', 'SYSTEMS|Q1|2/220']",European Society Of Cardiology
MMWR Surveillance Summaries,37.3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|1/403","['MMWR', 'Surveillance', 'Summaries', 'PUBLIC', 'ENVIRONMENTAL', 'OCCUPATIONAL', 'HEALTH|Q1|1/403']",Centers For Disease Control And Prevention
NATURE MATERIALS,37.2,"PHYSICS, CONDENSED MATTER|Q1|1/79","['NATURE', 'MATERIALS', 'PHYSICS', 'CONDENSED', 'MATTER|Q1|1/79']",Springer
LANCET INFECTIOUS DISEASES,36.4,INFECTIOUS DISEASES|Q1|1/132,"['LANCET', 'INFECTIOUS', 'DISEASES', 'INFECTIOUS', 'DISEASES|Q1|1/132']",Elsevier
NATURE METHODS,36.1,BIOCHEMICAL RESEARCH METHODS|Q1|1/85,"['NATURE', 'METHODS', 'BIOCHEMICAL', 'RESEARCH', 'METHODS|Q1|1/85']",Springer
CIRCULATION,35.5,PERIPHERAL VASCULAR DISEASE|Q1|1/96,"['CIRCULATION', 'PERIPHERAL', 'VASCULAR', 'DISEASE|Q1|1/96']",American Heart Association
ADVANCES IN PHYSICS,35.0,"PHYSICS, CONDENSED MATTER|Q1|2/79","['ADVANCES', 'PHYSICS', 'PHYSICS', 'CONDENSED', 'MATTER|Q1|2/79']",Cambridge University Press
IEEE Communications Surveys and Tutorials,34.4,TELECOMMUNICATIONS|Q1|1/119,"['IEEE', 'Communications', 'Surveys', 'Tutorials', 'TELECOMMUNICATIONS|Q1|1/119']",Ieee
Nature Electronics,33.7,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|1/352","['Nature', 'Electronics', 'ENGINEERING', 'ELECTRICAL', 'ELECTRONIC|Q1|1/352']",Springer
PROGRESS IN MATERIALS SCIENCE,33.6,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|7/438","['PROGRESS', 'MATERIALS', 'SCIENCE', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q1|7/438']",Elsevier
Innovation,33.2,MULTIDISCIPLINARY SCIENCES|Q1|4/134,"['Innovation', 'MULTIDISCIPLINARY', 'SCIENCES|Q1|4/134']",Elsevier
NATURE BIOTECHNOLOGY,33.1,BIOTECHNOLOGY & APPLIED MICROBIOLOGY|Q1|2/174,"['NATURE', 'BIOTECHNOLOGY', 'BIOTECHNOLOGY', 'APPLIED', 'MICROBIOLOGY|Q1|2/174']",Springer
Energy & Environmental Science,32.4,ENVIRONMENTAL SCIENCES|Q1|2/358,"['Energy', 'Environmental', 'Science', 'ENVIRONMENTAL', 'SCIENCES|Q1|2/358']",Royal Society Of Chemistry
Nature Photonics,32.3,"PHYSICS, APPLIED|Q1|3/179","['Nature', 'Photonics', 'PHYSICS', 'APPLIED|Q1|3/179']",Springer
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,32.0,THERMODYNAMICS|Q1|1/76,"['PROGRESS', 'ENERGY', 'COMBUSTION', 'SCIENCE', 'THERMODYNAMICS|Q1|1/76']",Elsevier
NATURE GENETICS,31.7,GENETICS & HEREDITY|Q1|2/191,"['NATURE', 'GENETICS', 'GENETICS', 'HEREDITY|Q1|2/191']",Springer
Nano-Micro Letters,31.6,"PHYSICS, APPLIED|Q1|4/179","['Nano-Micro', 'Letters', 'PHYSICS', 'APPLIED|Q1|4/179']",Springer
MATERIALS SCIENCE & ENGINEERING R-REPORTS,31.6,"PHYSICS, APPLIED|Q1|4/179","['MATERIALS', 'SCIENCE', 'ENGINEERING', 'R-REPORTS', 'PHYSICS', 'APPLIED|Q1|4/179']",Elsevier
Nature Reviews Endocrinology,31.0,ENDOCRINOLOGY & METABOLISM|Q1|2/186,"['Nature', 'Reviews', 'Endocrinology', 'ENDOCRINOLOGY', 'METABOLISM|Q1|2/186']",Springer
Lancet Gastroenterology & Hepatology,30.9,GASTROENTEROLOGY & HEPATOLOGY|Q1|2/143,"['Lancet', 'Gastroenterology', 'Hepatology', 'GASTROENTEROLOGY', 'HEPATOLOGY|Q1|2/143']",Elsevier
Lancet Psychiatry,30.8,PSYCHIATRY|Q1|2/276,"['Lancet', 'Psychiatry', 'PSYCHIATRY|Q1|2/276']",Elsevier
Physiological Reviews,29.9,PHYSIOLOGY|Q1|1/85,"['Physiological', 'Reviews', 'PHYSIOLOGY|Q1|1/85']",American Physiological Society
Cancer Discovery,29.7,ONCOLOGY|Q1|8/322,"['Cancer', 'Discovery', 'ONCOLOGY|Q1|8/322']",Elsevier
Nature Climate Change,29.6,METEOROLOGY & ATMOSPHERIC SCIENCES|Q1|1/110,"['Nature', 'Climate', 'Change', 'METEOROLOGY', 'ATMOSPHERIC', 'SCIENCES|Q1|1/110']",Springer
Journal of Hematology & Oncology,29.5,ONCOLOGY|Q1|9/322,"['Journal', 'Hematology', 'Oncology', 'ONCOLOGY|Q1|9/322']",Wiley
Nature Reviews Rheumatology,29.4,RHEUMATOLOGY|Q1|1/57,"['Nature', 'Reviews', 'Rheumatology', 'RHEUMATOLOGY|Q1|1/57']",Springer
NATURE REVIEWS NEUROSCIENCE,28.7,NEUROSCIENCES|Q1|2/310,"['NATURE', 'REVIEWS', 'NEUROSCIENCE', 'NEUROSCIENCES|Q1|2/310']",Springer
Advanced Powder Materials,28.6,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|10/438","['Advanced', 'Powder', 'Materials', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q1|10/438']",Elsevier
Nature Reviews Nephrology,28.6,UROLOGY & NEPHROLOGY|Q1|1/126,"['Nature', 'Reviews', 'Nephrology', 'UROLOGY', 'NEPHROLOGY|Q1|1/126']",Springer
Annual Review of Pathology-Mechanisms of Disease,28.4,PATHOLOGY|Q1|1/88,"['Annual', 'Review', 'Pathology-Mechanisms', 'Disease', 'PATHOLOGY|Q1|1/88']",Annual Reviews
Electrochemical Energy Reviews,28.4,ELECTROCHEMISTRY|Q1|2/45,"['Electrochemical', 'Energy', 'Reviews', 'ELECTROCHEMISTRY|Q1|2/45']",Royal Society Of Chemistry
Nature Reviews Neurology,28.2,CLINICAL NEUROLOGY|Q1|2/277,"['Nature', 'Reviews', 'Neurology', 'CLINICAL', 'NEUROLOGY|Q1|2/277']",Springer
CELL RESEARCH,28.1,CELL BIOLOGY|Q1|6/205,"['CELL', 'RESEARCH', 'CELL', 'BIOLOGY|Q1|6/205']",Elsevier
ASTRONOMY AND ASTROPHYSICS REVIEW,27.8,ASTRONOMY & ASTROPHYSICS|Q1|1/84,"['ASTRONOMY', 'ASTROPHYSICS', 'REVIEW', 'ASTRONOMY', 'ASTROPHYSICS|Q1|1/84']",Springer
Cell Metabolism,27.7,ENDOCRINOLOGY & METABOLISM|Q1|3/186,"['Cell', 'Metabolism', 'ENDOCRINOLOGY', 'METABOLISM|Q1|3/186']",Elsevier
Molecular Cancer,27.7,ONCOLOGY|Q1|10/322,"['Molecular', 'Cancer', 'ONCOLOGY|Q1|10/322']",Elsevier
NATURE IMMUNOLOGY,27.7,IMMUNOLOGY|Q1|2/181,"['NATURE', 'IMMUNOLOGY', 'IMMUNOLOGY|Q1|2/181']",Springer
ADVANCED MATERIALS,27.4,"PHYSICS, CONDENSED MATTER|Q1|3/79","['ADVANCED', 'MATERIALS', 'PHYSICS', 'CONDENSED', 'MATTER|Q1|3/79']",Wiley
eLight,27.2,OPTICS|Q1|2/119,"['eLight', 'OPTICS|Q1|2/119']",Springer
INTENSIVE CARE MEDICINE,27.1,CRITICAL CARE MEDICINE|Q1|2/54,"['INTENSIVE', 'CARE', 'MEDICINE', 'CRITICAL', 'CARE', 'MEDICINE|Q1|2/54']",Springer
Annual Review of Immunology,26.9,IMMUNOLOGY|Q1|3/181,"['Annual', 'Review', 'Immunology', 'IMMUNOLOGY|Q1|3/181']",Annual Reviews
JOURNAL OF HEPATOLOGY,26.8,GASTROENTEROLOGY & HEPATOLOGY|Q1|3/143,"['JOURNAL', 'HEPATOLOGY', 'GASTROENTEROLOGY', 'HEPATOLOGY|Q1|3/143']",Elsevier
Nature Biomedical Engineering,26.8,"ENGINEERING, BIOMEDICAL|Q1|1/122","['Nature', 'Biomedical', 'Engineering', 'ENGINEERING', 'BIOMEDICAL|Q1|1/122']",Springer
Living Reviews in Relativity,26.3,"PHYSICS, PARTICLES & FIELDS|Q1|1/30","['Living', 'Reviews', 'Relativity', 'PHYSICS', 'PARTICLES', 'FIELDS|Q1|1/30']",Springer
Annual Review of Astronomy and Astrophysics,26.3,ASTRONOMY & ASTROPHYSICS|Q1|2/84,"['Annual', 'Review', 'Astronomy', 'Astrophysics', 'ASTRONOMY', 'ASTROPHYSICS|Q1|2/84']",Annual Reviews
Science Robotics,26.1,ROBOTICS|Q1|1/46,"['Science', 'Robotics', 'ROBOTICS|Q1|1/46']",American Association For The Advancement Of Science
PROGRESS IN POLYMER SCIENCE,26.0,POLYMER SCIENCE|Q1|1/94,"['PROGRESS', 'POLYMER', 'SCIENCE', 'POLYMER', 'SCIENCE|Q1|1/94']",Elsevier
Gastroenterology,25.7,GASTROENTEROLOGY & HEPATOLOGY|Q1|4/143,"['Gastroenterology', 'GASTROENTEROLOGY', 'HEPATOLOGY|Q1|4/143']",Elsevier
Nature Sustainability,25.7,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY|Q1|1/91,"['Nature', 'Sustainability', 'GREEN', 'SUSTAINABLE', 'SCIENCE', 'TECHNOLOGY|Q1|1/91']",Springer
Immunity,25.5,IMMUNOLOGY|Q1|4/181,"['Immunity', 'IMMUNOLOGY|Q1|4/181']",Elsevier
Lancet Public Health,25.4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|2/403","['Lancet', 'Public', 'Health', 'PUBLIC', 'ENVIRONMENTAL', 'OCCUPATIONAL', 'HEALTH|Q1|2/403']",Elsevier
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,25.4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|2/403","['MMWR-MORBIDITY', 'MORTALITY', 'WEEKLY', 'REPORT', 'PUBLIC', 'ENVIRONMENTAL', 'OCCUPATIONAL', 'HEALTH|Q1|2/403']",Centers For Disease Control And Prevention
Annual Review of Fluid Mechanics,25.4,"PHYSICS, FLUIDS & PLASMAS|Q1|1/40","['Annual', 'Review', 'Fluid', 'Mechanics', 'PHYSICS', 'FLUIDS', 'PLASMAS|Q1|1/40']",Annual Reviews
EUROPEAN UROLOGY,25.3,UROLOGY & NEPHROLOGY|Q1|2/126,"['EUROPEAN', 'UROLOGY', 'UROLOGY', 'NEPHROLOGY|Q1|2/126']",Elsevier
REVIEWS OF GEOPHYSICS,25.2,GEOCHEMISTRY & GEOPHYSICS|Q1|1/101,"['REVIEWS', 'GEOPHYSICS', 'GEOCHEMISTRY', 'GEOPHYSICS|Q1|1/101']",American Geophysical Union
Advances in Optics and Photonics,25.2,OPTICS|Q1|3/119,"['Advances', 'Optics', 'Photonics', 'OPTICS|Q1|3/119']",Osa Publishing
JAMA Pediatrics,24.7,PEDIATRICS|Q1|1/186,"['JAMA', 'Pediatrics', 'PEDIATRICS|Q1|1/186']",American Medical Association
FUNGAL DIVERSITY,24.5,MYCOLOGY|Q1|1/33,"['FUNGAL', 'DIVERSITY', 'MYCOLOGY|Q1|1/33']",Elsevier
Interdisciplinary Materials,24.5,"PHYSICS, APPLIED|Q1|7/179","['Interdisciplinary', 'Materials', 'PHYSICS', 'APPLIED|Q1|7/179']",Elsevier
Advanced Energy Materials,24.4,"PHYSICS, CONDENSED MATTER|Q1|4/79","['Advanced', 'Energy', 'Materials', 'PHYSICS', 'CONDENSED', 'MATTER|Q1|4/79']",Wiley
Lancet Planetary Health,24.1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|4/403","['Lancet', 'Planetary', 'Health', 'PUBLIC', 'ENVIRONMENTAL', 'OCCUPATIONAL', 'HEALTH|Q1|4/403']",Elsevier
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,23.9,"PHYSICS, MULTIDISCIPLINARY|Q1|3/110","['PHYSICS', 'REPORTS-REVIEW', 'SECTION', 'PHYSICS', 'LETTERS', 'PHYSICS', 'MULTIDISCIPLINARY|Q1|3/110']",Elsevier
Lancet Digital Health,23.8,"MEDICINE, GENERAL & INTERNAL|Q1|6/325","['Lancet', 'Digital', 'Health', 'MEDICINE', 'GENERAL', 'INTERNAL|Q1|6/325']",Elsevier
ACM COMPUTING SURVEYS,23.8,"COMPUTER SCIENCE, THEORY & METHODS|Q1|1/143","['ACM', 'COMPUTING', 'SURVEYS', 'COMPUTER', 'SCIENCE', 'THEORY', 'METHODS|Q1|1/143']",Association For Computing Machinery
iMeta,23.7,MICROBIOLOGY|Q1|2/161,"['iMeta', 'MICROBIOLOGY|Q1|2/161']",Springer
Annual Review of Psychology,23.6,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|1/218","['Annual', 'Review', 'Psychology', 'PSYCHOLOGY', 'MULTIDISCIPLINARY|Q1|1/218']",Annual Reviews
Nature Food,23.6,FOOD SCIENCE & TECHNOLOGY|Q1|1/173,"['Nature', 'Food', 'FOOD', 'SCIENCE', 'TECHNOLOGY|Q1|1/173']",Springer
Nature Cancer,23.5,ONCOLOGY|Q1|11/322,"['Nature', 'Cancer', 'ONCOLOGY|Q1|11/322']",Springer
PROCEEDINGS OF THE IEEE,23.2,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|2/352","['PROCEEDINGS', 'IEEE', 'ENGINEERING', 'ELECTRICAL', 'ELECTRONIC|Q1|2/352']",Ieee
Advanced Composites and Hybrid Materials,23.2,NANOSCIENCE & NANOTECHNOLOGY|Q1|5/140,"['Advanced', 'Composites', 'Hybrid', 'Materials', 'NANOSCIENCE', 'NANOTECHNOLOGY|Q1|5/140']",Elsevier
GUT,23.0,GASTROENTEROLOGY & HEPATOLOGY|Q1|5/143,"['GUT', 'GASTROENTEROLOGY', 'HEPATOLOGY|Q1|5/143']",Bmj Publishing Group
Living Reviews in Solar Physics,23.0,ASTRONOMY & ASTROPHYSICS|Q1|3/84,"['Living', 'Reviews', 'Solar', 'Physics', 'ASTRONOMY', 'ASTROPHYSICS|Q1|3/84']",Springer
InfoMat,22.7,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|14/438","['InfoMat', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q1|14/438']",Elsevier
JAMA Internal Medicine,22.5,"MEDICINE, GENERAL & INTERNAL|Q1|7/325","['JAMA', 'Internal', 'Medicine', 'MEDICINE', 'GENERAL', 'INTERNAL|Q1|7/325']",American Medical Association
JAMA Oncology,22.5,ONCOLOGY|Q1|12/322,"['JAMA', 'Oncology', 'ONCOLOGY|Q1|12/322']",American Medical Association
JAMA Psychiatry,22.5,PSYCHIATRY|Q1|3/276,"['JAMA', 'Psychiatry', 'PSYCHIATRY|Q1|3/276']",American Medical Association
EnergyChem,22.2,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|15/438","['EnergyChem', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q1|15/438']",Elsevier
ENDOCRINE REVIEWS,22.0,ENDOCRINOLOGY & METABOLISM|Q1|4/186,"['ENDOCRINE', 'REVIEWS', 'ENDOCRINOLOGY', 'METABOLISM|Q1|4/186']",Endocrine Society
Cellular & Molecular Immunology,21.8,IMMUNOLOGY|Q1|5/181,"['Cellular', 'Molecular', 'Immunology', 'IMMUNOLOGY|Q1|5/181']",Elsevier
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,21.7,CARDIAC & CARDIOVASCULAR SYSTEMS|Q1|4/220,"['JOURNAL', 'AMERICAN', 'COLLEGE', 'CARDIOLOGY', 'CARDIAC', 'CARDIOVASCULAR', 'SYSTEMS|Q1|4/220']",American College Of Cardiology
Nature Human Behaviour,21.4,"PSYCHOLOGY, EXPERIMENTAL|Q1|1/99","['Nature', 'Human', 'Behaviour', 'PSYCHOLOGY', 'EXPERIMENTAL|Q1|1/99']",Springer
Annual Review of Public Health,21.4,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|5/403","['Annual', 'Review', 'Public', 'Health', 'PUBLIC', 'ENVIRONMENTAL', 'OCCUPATIONAL', 'HEALTH|Q1|5/403']",Annual Reviews
Annual Review of Plant Biology,21.3,PLANT SCIENCES|Q1|1/265,"['Annual', 'Review', 'Plant', 'Biology', 'PLANT', 'SCIENCES|Q1|1/265']",Annual Reviews
NATURE NEUROSCIENCE,21.2,NEUROSCIENCES|Q1|4/310,"['NATURE', 'NEUROSCIENCE', 'NEUROSCIENCES|Q1|4/310']",Springer
Materials Today,21.1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|16/438","['Materials', 'Today', 'MATERIALS', 'SCIENCE', 'MULTIDISCIPLINARY|Q1|16/438']",Elsevier
Journal of Thoracic Oncology,21.0,RESPIRATORY SYSTEM|Q1|2/100,"['Journal', 'Thoracic', 'Oncology', 'RESPIRATORY', 'SYSTEM|Q1|2/100']",American Society Of Clinical Oncology
BLOOD,21.0,HEMATOLOGY|Q1|2/97,"['BLOOD', 'HEMATOLOGY|Q1|2/97']",American Society Of Hematology
Lancet Microbe,20.9,MICROBIOLOGY|Q1|3/161,"['Lancet', 'Microbe', 'MICROBIOLOGY|Q1|3/161']",Elsevier
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,20.8,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|3/352","['IEEE', 'TRANSACTIONS', 'PATTERN', 'ANALYSIS', 'MACHINE', 'INTELLIGENCE', 'ENGINEERING', 'ELECTRICAL', 'ELECTRONIC|Q1|3/352']",Ieee
Cell Host & Microbe,20.6,VIROLOGY|Q1|1/41,"['Cell', 'Host', 'Microbe', 'VIROLOGY|Q1|1/41']",Elsevier
Light-Science & Applications,20.6,OPTICS|Q1|4/119,"['Light-Science', 'Applications', 'OPTICS|Q1|4/119']",Springer
Advanced Photonics,20.6,OPTICS|Q1|4/119,"['Advanced', 'Photonics', 'OPTICS|Q1|4/119']",Osa Publishing
Nature Microbiology,20.5,MICROBIOLOGY|Q1|5/161,"['Nature', 'Microbiology', 'MICROBIOLOGY|Q1|5/161']",Springer
JAMA Neurology,20.4,CLINICAL NEUROLOGY|Q1|3/277,"['JAMA', 'Neurology', 'CLINICAL', 'NEUROLOGY|Q1|3/277']",American Medical Association
ANNALS OF THE RHEUMATIC DISEASES,20.3,RHEUMATOLOGY|Q1|2/57,"['ANNALS', 'RHEUMATIC', 'DISEASES', 'RHEUMATOLOGY|Q1|2/57']",Oxford University Press
